embryonic_day,growth_rate
8.506630491,1.693553796
8.646279611,2.035656454
8.548457517,2.317471471
8.584714419,2.466120939
8.682728147,2.407078911
8.749978441,2.585546425
8.796762366,2.971858741
8.853690047,3.150287928
8.8231949,3.699679654
8.870285437,4.442428753
8.922051811,4.620838776
8.989199902,4.680494029
9.226415607,4.443751018
9.293423166,4.340039412
9.144307392,4.992951111
9.489948866,4.801165127
9.407802325,5.305810622
9.325349171,5.454019336
9.676739625,5.945423013
9.74922788,6.213018885
9.578240429,5.440106803
9.800176621,5.440930824
9.856861568,5.337180892
9.934319496,5.382022938
9.963920357,3.793023932
10.06261119,4.52111313
10.17074312,4.224484907
10.24869929,4.848536725
10.30519261,4.522013804
10.40840597,4.507545537
10.44341087,3.200744812
10.58327717,3.795323524
10.71727952,3.57304878
10.81517827,3.380342959
10.94336775,2.40062089
11.03173597,3.128671762
11.15569676,3.233092408
11.24831922,2.90670363
11.38761063,2.832963376
11.51126481,2.58094724
11.88224012,1.839750366
12.02703777,2.167020655
12.22758776,1.306379132
12.3408299,0.950363942
12.43352901,0.71308436
12.44388995,0.757677284
12.55195801,0.386791398
12.62433128,0.520723477
