embryonic_day,growth_rate
8.561935484,1.288888889
8.629032258,0.785185185
8.727096774,0.977777778
8.82,1.2
8.969677419,1.437037037
9.057419355,1.703703704
9.114193548,3.407407407
9.14,4.02962963
9.258709677,3.881481481
9.330967742,3.807407407
9.496129032,3.259259259
9.671612903,3.644444444
9.558064516,4.162962963
9.769677419,4.518518519
9.847096774,3.925925926
9.898709677,4.888888889
9.986451613,5.022222222
10.09483871,5.407407407
10.17225806,5.659259259
10.31677419,6.207407407
10.42516129,5.585185185
10.49225806,5.733333333
10.66258065,5.777777778
10.70903226,5.762962963
10.76064516,5.57037037
10.79677419,5.718518519
10.87419355,5.807407407
10.59032258,6.251851852
10.91032258,5.407407407
10.97741935,5.274074074
11.06516129,5.214814815
11.17354839,5.762962963
11.26129032,5.037037037
11.34903226,5.051851852
11.44193548,4.296296296
11.55548387,3.985185185
11.68451613,3.748148148
11.77741935,4.592592593
11.87548387,3.985185185
11.97870968,3.525925926
12.0716129,3.214814815
12.15935484,3.17037037
12.27290323,2.755555556
12.37612903,2.325925926
12.46903226,1.866666667
12.54129032,1.807407407
12.63419355,0.918518519
